Cakes and Ale - Or, the Skeleton in the Cupboard;W Somerset Maugham;Comedy
Orlando;Virginia Woolf;Science fiction and fantasy
The Manchurian Candidate;Richard Condon;Crime
Sharpe’s Eagle;Bernard Cornwell;War and travel
Persuasion;Jane Austen;Love
The Virgin Suicides;Jeffrey Eugenides;Love
Williwaw;Gore Vidal;War and travel
Moon over Africa;Pamela Kent;Love
Money;Martin Amis;Comedy
The Military Philosophers;Anthony Powell;War and travel
At-Swim-Two-Birds;Flann O’Brien;Family and self
Vile Bodies;Evelyn Waugh;Comedy
Clayhanger;Arnold Bennett;State of the nation
The Ragged Trousered Philanthropists;Robert Tressell;State of the nation
The Good Companions;JB Priestley;Family and self
Blood Meridian;Cormac McCarthy;War and travel
Martin Chuzzlewit;Charles Dickens;Comedy
An American Tragedy;Theodore Dreiser;Crime
The Ascent of Rum Doodle;WE Bowman;Comedy
USA;John Dos Passos;State of the nation
Who Do You Think You Are?;Alice Munro;Family and self
Excellent Women;Barbara Pym;Comedy
The Andromeda Strain;Michael Crichton;Crime
Bold as Love;Gwyneth Jones;Science fiction and fantasy
The Lecturer’s Tale;James Hynes;Comedy
The Trial;Franz Kafka;Science fiction and fantasy
Northanger Abbey;Jane Austen;Love
A Bend in the River;VS Naipaul;State of the nation
The Three Sisters;May Sinclair;Family and self
The Blackwater Lightship;Colm Toibin;Family and self
They Were Counted;Miklos Banffy;State of the nation
The Man of Property;John Galsworthy;Family and self
The Crow Road;Iain Banks;Family and self
The Wasp Factory;Iain Banks;Science fiction and fantasy
The Beach;Alex Garland;War and travel
All the Pretty Horses;Cormac McCarthy;War and travel
A Flag for Sunrise;Robert Stone;War and travel
She: A History of Adventure;H Rider Haggard;War and travel
The Third Man;Graham Greene;Crime
The Recognitions;William Gaddis;State of the nation
Lady Chatterley’s Lover;DH Lawrence;Love
Lord Jim;Joseph Conrad;War and travel
Waterland;Graham Swift;Love
Cider with Rosie;Laurie Lee;Family and self
The Millstone;Margaret Drabble;Family and self
Hyperion;Dan Simmons;Science fiction and fantasy
The Assistant;Bernard Malamud;Family and self
Berlin Alexanderplatz;Alfred Döblin;State of the nation
Jane Eyre;Charlotte Bronte;Love
Death at the President’s Lodging;Michael Innes;Crime
The House of the Seven Gables;Nathaniel Hawthorne;Science fiction and fantasy
The Savage Detectives;Roberto Bolano;War and travel
Mister Johnson;Joyce Cary;Comedy
Mary Barton;Elizabeth Gaskell;Family and self
The Moonstone;Wilkie Collins;Crime
The Wimbledon Poisoner;Nigel Williams;Comedy
The Blue Flower;Penelope Fitzgerald;Love
The Parasites;Daphne du Maurier;Love
Room Temperature;Nicholson Baker;Family and self
Love in a Cold Climate;Nancy Mitford;Love
Anglo-Saxon Attitudes;Angus Wilson;Comedy
Afternoon Men;Anthony Powell;State of the nation
The Buddha of Suburbia;Hanif Kureishi;Family and self
Venus on the Half-Shell;Kilgore Trout;Comedy
Pointed Roofs;Dorothy Richardson;Family and self
North and South;Elizabeth Gaskell;State of the nation
Family Matters;Rohinton Mistry;Family and self
Humboldt’s Gift;Saul Bellow;Family and self
Memoirs of a Gnostic Dwarf;David Madsen;Comedy
Breakfast at Tiffany’s;Truman Capote;Love
Revolutionary Road;Richard Yates;Love
Regeneration;Pat Barker;War and travel
High Fidelity;Nick Hornby;Comedy
The Life and Loves of a She-Devil;Fay Weldon;Comedy
Bleak House;Charles Dickens;State of the nation
Gravity’s Rainbow;Thomas Pynchon;War and travel
Tender is the Night;F Scott Fitzgerald;Love
Breathing Lessons;Anne Tyler;Love
The Curious Incident of the Dog in the Night-time;Mark Haddon;Comedy
The Black Prince;Iris Murdoch;Family and self
The Three Musketeers;Alexandre Dumas;War and travel
The Leopard;Giuseppi di Lampedusa;State of the nation
Two Serious Ladies;Jane Bowles;Family and self
Mrs Dalloway;Virginia Woolf;Family and self
Call it Sleep;Henry Roth;Family and self
To The Ends of the Earth trilogy;William Golding;War and travel
Memoirs of a Survivor;Doris Lessing;Science fiction and fantasy
The Strange Case of Dr Jekyll and Mr Hyde;Robert Louis Stevenson;Science fiction and fantasy
New Grub Street;George Gissing;State of the nation
Changing Places;David Lodge;Comedy
The Island of Dr Moreau;HG Wells;War and travel
The Old Men at the Zoo;Angus Wilson;Science fiction and fantasy
Blacklist;Sara Paretsky;Crime
Beloved;Toni Morrison;Science fiction and fantasy
Gorky Park;Martin Cruz Smith;Crime
Rubyfruit Jungle;Rita Mae Brown;Love
Bomber;Len Deighton;War and travel
The History of Mr Polly;HG Wells;Family and self
Maurice Guest;Henry Handel Richardson;Love
The Guns of Navarone;Alistair MacLean;War and travel
The History of Pompey the Little;Francis Coventry;War and travel
Dune;Frank L Herbert;Science fiction and fantasy
The Crab with the Golden Claws;Georges Remi Herge;War and travel
More Die of Heartbreak;Saul Bellow;Love
L’Histoire de Gil Blas de Santillane (Gil Blas);Alain-René Lesage;Comedy
The Grass is Singing;Doris Lessing;State of the nation
A Kestrel for a Knave;Barry Hines;State of the nation
The King of Torts;John Grisham;Crime
Empire of the Sun;JG Ballard;War and travel
Dom Casmurro Joaquim;Maria Machado de Assis;Love
The Woman in White;Wilkie Collins;Crime
My Cousin Rachel;Daphne du Maurier;Crime
A Room with a View;EM Forster;Love
The Slaves of Solitude;Patrick Hamilton;War and travel
Cloud Atlas;David Mitchell;Science fiction and fantasy
Music and Silence;Rose Tremain;Love
Treasure Island;Robert Louis Stevenson;War and travel
Lucky Jim;Kingsley Amis;Comedy
The Great Impersonation;E Phillips Oppenheim;Crime
Couples;John Updike;State of the nation
The Big Blowdown;George Pelecanos;Crime
Pnin;Vladimir Nabokov;Comedy
Possession;AS Byatt;Love
Charade;John Mortimer;Comedy
The Catcher in the Rye;JD Salinger;Family and self
A Dry White Season;Andre Brink;State of the nation
Confederates;Thomas Keneally;War and travel
How Green was My Valley;Richard Llewellyn;Family and self
Herland;Charlotte Perkins Gilman;Science fiction and fantasy
Put Out More Flags;Evelyn Waugh;War and travel
Asterix the Gaul;Rene Goscinny;War and travel
The Adventures of Augie March;Saul Bellow;Comedy
Bridget Jones’s Diary;Helen Fielding;Comedy
The Bottle Factory Outing;Beryl Bainbridge;Comedy
The African Queen;CS Forester;War and travel
The Lonely Londoners;Samuel Selvon;State of the nation
Bright Lights, Big City;Jay McInerney;Comedy
Pride and Prejudice;Jane Austen;Love
Captain Blood;Rafael Sabatini;War and travel
Death and the Penguin;Andrey Kurkov;Comedy
Great Apes;Will Self;Comedy
The Long Goodbye;Raymond Chandler;Crime
Revelation Space;Alastair Reynolds;Science fiction and fantasy
Don Quixote;Miguel de Cervantes;Comedy
The Book of the New Sun;Gene Wolfe;Science fiction and fantasy
The Grapes of Wrath;John Steinbeck;State of the nation
The Lonely Passion of Judith Hearne;Brian Moore;Family and self
Auto-da-Fe;Elias Canetti;War and travel
Valley of the Dolls;Jacqueline Susann;Love
The Sorrow of War;Bao Ninh;War and travel
Ballet Shoes;Noel Streatfield;Family and self
Pamela;Samuel Richardson;Love
V;Thomas Pynchon;Crime
One Hundred Years of Solitude;Gabriel Garcia Marquez;War and travel
Snow Crash;Neal Stephenson;Science fiction and fantasy
The Remains of the Day;Kazuo Ishiguro;Love
The Mysteries of Udolpho;Ann Radcliffe;Science fiction and fantasy
Joseph Andrews;Henry Fielding;Comedy
Adam Bede;George Eliot;Love
A Married Man;Piers Paul Read;Family and self
Ascent;Jed Mercurio;Science fiction and fantasy
Candide;Voltaire;War and travel
The Getaway;Jim Thompson;Crime
A Season in Sinji;JL Carr;Comedy
Le Pere Goriot;Honore de Balzac;Family and self
The Debacle;Emile Zola;War and travel
The Vagabond;Sidonie-Gabrielle Colette;Family and self
The Ipcress File;Len Deighton;Crime
South Wind;Norman Douglas;War and travel
McTeague;Frank Norris;State of the nation
52 Pick-up;Elmore Leonard;Crime
Nineteen Seventy Seven;David Peace;Crime
The Vicar of Wakefield;Oliver Goldsmith;Family and self
Nice Work;David Lodge;Comedy
